name,domain,secondary_domains,city,address,latitude,longitude,website,career_url,linkedin_url,glassdoor_url,known_stack,notes,logo_url
Socomec,Industrie,Energie;IoT;Cybersécurité,Benfeld,"1 rue de Westhouse, 67230 Benfeld",48.3704,7.5939,https://www.socomec.com,https://www.socomec.com/careers,https://www.linkedin.com/company/socomec-group/,,C#;.NET;IoT;Cloud;Cybersécurité;Automatisation industrielle,"Industriel local très pertinent pour software embarqué, IoT, énergie et cybersécurité produit.",
Hager,Industrie,Domotique;IoT;Energie;Cloud,Obernai,"132 boulevard de l'Europe, 67210 Obernai",48.4619,7.5036,https://hagergroup.com,https://hagergroup.com/en/career,https://www.linkedin.com/company/hagergroup/,,IoT;AWS;Azure;API REST;MQTT;KNX;Zigbee;Edge Computing,"Groupe industriel majeur avec équipes digitales, software, IoT et systèmes connectés à Obernai.",
Lilly France,Santé,Pharmaceutique;Industrie;Data;OT,Fegersheim,"2 rue du Colonel Lilly, 67640 Fegersheim",48.5027,7.6987,https://www.lilly.com,https://careers.lilly.com,https://www.linkedin.com/company/eli-lilly-and-company/,,MES;OT;Automatisation industrielle;Data;GxP;CSV,"Site pharmaceutique local important avec besoins IT industriels, automatisation, conformité et data.",
Merck Life Science,Santé,Biotech;Industrie;Automatisation;Data,Molsheim,"39 route Industrielle de la Hardt, 67120 Molsheim",48.5418,7.5297,https://www.merckgroup.com,https://www.merckgroup.com/en/careers.html,https://www.linkedin.com/company/merck-group/,,MES;OT;Automatisation industrielle;Data;GxP;Cloud,"Site Life Science avec profils automation, digital manufacturing, data et qualité informatique.",
Euro-Information,Banque,IT bancaire;Software;Infrastructure;Data,Strasbourg,"4 rue Frédéric-Guillaume-Raiffeisen, 67000 Strasbourg",48.5933,7.7698,https://www.e-i.com,https://www.e-i.com/fr/recrutement,https://www.linkedin.com/company/euro-information/,,Java;JavaScript;SQL;Mainframe;DevOps;Infrastructure,Filiale technologique du Crédit Mutuel avec équipes IT importantes à Strasbourg.,
BPCE Solutions Informatiques,Banque,IT bancaire;Software;Cloud;Data,Schiltigheim,"4 rue de la Haye, 67300 Schiltigheim",48.6105,7.7118,https://www.bpce-si.fr,https://www.bpce-si.fr/recrutement,https://www.linkedin.com/company/bpce-solutions-informatiques/,,Java;Angular;Full stack;API;CI/CD;Banque,Entité IT du groupe BPCE avec implantation strasbourgeoise et postes développeur full stack.,
Crédit Mutuel Alliance Fédérale,Banque,IT bancaire;Data;Cybersécurité;Infrastructure,Strasbourg,"4 rue Frédéric-Guillaume-Raiffeisen, 67000 Strasbourg",48.5933,7.7698,https://www.creditmutuelalliancefederale.fr,https://recrutement.creditmutuel.fr,https://www.linkedin.com/company/credit-mutuel-alliance-federale/,,Java;SQL;Data;Mainframe;Cybersécurité;DevOps,"Grand groupe bancaire local avec besoins récurrents en développement, data, sécurité et systèmes bancaires.",
Caisse d'Épargne Grand Est Europe,Banque,IT bancaire;Production applicative;Data,Strasbourg,"1 avenue du Rhin, 67000 Strasbourg",48.5739,7.7695,https://www.caisse-epargne.fr/grand-est-europe/,https://www.caisse-epargne.fr/grand-est-europe/recrutement/,https://www.linkedin.com/company/caisse-d-epargne-grand-est-europe/,,SQL;Production applicative;Data;Banque;Support applicatif,"Banque régionale avec besoins IT, production applicative, data et fonctions support numériques.",
Electricité de Strasbourg,Energie,Infrastructure;Smart grid;Data;OT,Mundolsheim,"5 rue André-Marie Ampère, 67450 Mundolsheim",48.6456,7.7189,https://www.es.fr,https://www.es.fr/recrutement,https://www.linkedin.com/company/electricite-de-strasbourg/,,Data;OT;Infrastructure;Smart grid;ERP;Cybersécurité,"Acteur énergie local avec enjeux systèmes industriels, data, infrastructure et transformation numérique.",
Sopra Steria,ESN,Conseil;Software;Cloud;Cybersécurité,Schiltigheim,"15A avenue de l'Europe, 67300 Schiltigheim",48.6134,7.7108,https://www.soprasteria.com,https://www.soprasteria.fr/carrieres,https://www.linkedin.com/company/sopra-steria/,,Java;.NET;Angular;Cloud;DevOps;Cybersécurité;Agile,Grande ESN avec agence locale et missions IT pour grands comptes publics et privés.,
